Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
04-03-2020,Draw Seven Park,MWR205,170,0.2,NA,NA,NA,NA
04-13-2020,Draw Seven Park,MWR205,113,0.79,NA,NA,NA,NA
04-16-2021,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,201,1.99,NA,NA,NA,NA
04-16-2021,Draw Seven Park,MWR205,426,5.87,NA,NA,NA,NA
04-16-2021,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,263,13.05,NA,NA,NA,NA
04-19-2022,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,15,0.04,NA,NA,NA,NA
04-19-2022,Draw Seven Park,MWR205,165,6.07,NA,NA,NA,NA
04-19-2022,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,162,9.78,NA,NA,NA,NA
04-21-2020,Draw Seven Park,MWR205,95,0.53,NA,NA,NA,NA
04-29-2021,Draw Seven Park,MWR205,27,0.77,NA,NA,NA,NA
04-30-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,35,0.39,NA,NA,NA,NA
04-30-2023,Draw Seven Park,MWR205,217,4.25,NA,NA,NA,NA
04-30-2023,Draw Seven Park,MWR205,217,4.25,NA,NA,NA,NA
05-01-2020,Draw Seven Park,MWR205,156,2.07,NA,NA,NA,NA
05-01-2020,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,110,5.3,NA,NA,NA,NA
05-01-2023,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,133,8.19,NA,NA,NA,NA
05-05-2021,Draw Seven Park,MWR205,23,0.4,NA,NA,NA,NA
05-15-2020,Draw Seven Park,MWR205,121,1.08,NA,NA,NA,NA
05-20-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,180,6,NA,NA,NA,NA
05-20-2023,Draw Seven Park,MWR205,287,6.43,NA,NA,NA,NA
